Name,Win rate,Loss rate,Team,Games Played,Average Tackles,Average Errors leading to a goal,Average Blocked shots,Average Interceptions,Average Clearances,Average Recoveries,Average Duels won,Average Duels lost,Average Goals,Average Passes,Average Accurate long balls,Average Yellow cards,Average Red cards,Average Fouls
Liam Cooper,0.30158730158730157,0.4603174603174603,Leeds United,63,2.3174603174603177,0.015873015873015872,0.047619047619047616,2.1746031746031744,3.3174603174603177,5.841269841269841,6.809523809523809,3.746031746031746,0.031746031746031744,55.77777777777778,2.9206349206349205,0.19047619047619047,0.015873015873015872,0.8412698412698413
Pascal Struijk,0.32098765432098764,0.4567901234567901,Leeds United,81,2.271604938271605,0.012345679012345678,0.12345679012345678,1.3580246913580247,2.45679012345679,5.135802469135802,4.506172839506172,3.6049382716049383,0.04938271604938271,43.95061728395062,1.7777777777777777,0.16049382716049382,0.012345679012345678,0.9382716049382716
Stuart Dallas,0.3611111111111111,0.4305555555555556,Leeds United,72,2.3194444444444446,0.013888888888888888,0.3472222222222222,1.4027777777777777,1.4166666666666667,6.597222222222222,5.041666666666667,4.638888888888889,0.125,46.013888888888886,1.8194444444444444,0.16666666666666666,0.0,1.0138888888888888
Rasmus Kristensen,0.2857142857142857,0.5238095238095238,Leeds United,21,2.5714285714285716,0.0,0.09523809523809523,1.2857142857142858,2.0476190476190474,3.8095238095238093,4.380952380952381,3.5714285714285716,0.09523809523809523,30.142857142857142,0.9047619047619048,0.19047619047619047,0.0,0.8571428571428571
Maximilian Wober,0.18181818181818182,0.5454545454545454,Leeds United,11,1.7272727272727273,0.0,0.2727272727272727,1.6363636363636365,3.8181818181818183,5.2727272727272725,3.5454545454545454,2.4545454545454546,0.0,42.54545454545455,2.4545454545454546,0.18181818181818182,0.0,0.8181818181818182
James Justin,0.4444444444444444,0.3492063492063492,Leicester City,63,2.2063492063492065,0.0,0.14285714285714285,1.1587301587301588,2.1587301587301586,4.650793650793651,5.650793650793651,4.619047619047619,0.031746031746031744,47.23809523809524,1.4285714285714286,0.07936507936507936,0.0,0.6190476190476191
Caglar Soyuncu,0.4421052631578947,0.3157894736842105,Leicester City,95,1.5368421052631578,0.031578947368421054,0.042105263157894736,1.1894736842105262,4.0,5.08421052631579,5.378947368421053,3.2421052631578946,0.031578947368421054,62.8421052631579,2.736842105263158,0.14736842105263157,0.010526315789473684,0.8736842105263158
Ryan Bertrand,0.3511450381679389,0.41603053435114506,Leicester City,262,1.5305343511450382,0.003816793893129771,0.1297709923664122,1.381679389312977,1.6564885496183206,3.782442748091603,4.255725190839694,3.877862595419847,0.026717557251908396,38.217557251908396,1.2671755725190839,0.13740458015267176,0.007633587786259542,0.9198473282442748
Jonny Evans,0.47875354107648727,0.3031161473087819,Leicester City,353,1.461756373937677,0.0113314447592068,0.06232294617563739,1.8895184135977336,5.747875354107649,5.461756373937677,4.739376770538244,2.696883852691218,0.039660056657223795,47.507082152974505,3.4390934844192635,0.1529745042492918,0.0084985835694051,0.7903682719546742
Daniel Amartey,0.36792452830188677,0.42452830188679247,Leicester City,106,1.169811320754717,0.0,0.03773584905660377,0.8584905660377359,2.4622641509433962,5.2924528301886795,2.981132075471698,2.7169811320754715,0.018867924528301886,43.10377358490566,1.6037735849056605,0.12264150943396226,0.009433962264150943,0.6037735849056604
Ricardo Pereira,0.42,0.41,Leicester City,100,3.13,0.0,0.21,1.45,2.42,5.3,7.18,6.23,0.07,43.34,1.3,0.15,0.0,1.13
Jannik Vestergaard,0.34146341463414637,0.45121951219512196,Leicester City,82,1.670731707317073,0.012195121951219513,0.0975609756097561,1.3414634146341464,5.146341463414634,4.658536585365853,5.7560975609756095,3.268292682926829,0.04878048780487805,46.426829268292686,2.792682926829268,0.12195121951219512,0.012195121951219513,0.5975609756097561
Timothy Castagne,0.3764705882352941,0.4235294117647059,Leicester City,85,2.3058823529411763,0.023529411764705882,0.08235294117647059,1.1411764705882352,2.011764705882353,4.694117647058824,4.458823529411765,3.9176470588235293,0.058823529411764705,44.0,1.0823529411764705,0.058823529411764705,0.0,0.6588235294117647
Luke Thomas,0.35294117647058826,0.5098039215686274,Leicester City,51,1.7254901960784315,0.0,0.0784313725490196,1.6274509803921569,1.8431372549019607,4.1568627450980395,4.235294117647059,4.470588235294118,0.0196078431372549,38.568627450980394,1.0196078431372548,0.09803921568627451,0.0,0.6470588235294118
Wout Faes,0.28,0.6,Leicester City,25,1.92,0.0,0.08,1.44,3.2,5.96,4.8,2.88,0.0,63.72,2.72,0.16,0.04,0.84
Victor Kristiansen,0.2222222222222222,0.6666666666666666,Leicester City,9,3.6666666666666665,0.0,0.1111111111111111,0.3333333333333333,2.0,4.555555555555555,5.888888888888889,4.444444444444445,0.0,32.333333333333336,1.2222222222222223,0.1111111111111111,0.0,1.2222222222222223
Harry Souttar,0.2,0.7,Leicester City,10,1.3,0.0,0.2,1.1,3.9,4.5,5.6,1.9,0.0,52.8,1.9,0.2,0.0,0.5
Virgil van Dijk,0.6126126126126126,0.18018018018018017,Liverpool,222,1.0225225225225225,0.018018018018018018,0.17567567567567569,1.527027027027027,5.117117117117117,5.315315315315315,6.036036036036036,2.265765765765766,0.09009009009009009,69.69369369369369,4.725225225225225,0.06306306306306306,0.0045045045045045045,0.5
