Name,Win rate,Loss rate,Team,Games Played,Average Goals,Average Headed goals,Average Penalties scored,Average Freekicks scored,Average Assists,Average Shots,Average Shots on target,Average Hit woodworks,Average Big chances missed,Average Passes,Average Big chances created,Average Yellow cards,Average Red cards,Average Fouls,Average Offsides
Patrick Bamford,0.28865979381443296,0.5051546391752577,Leeds United,97,0.23711340206185566,0.041237113402061855,0.020618556701030927,0.0,0.1134020618556701,1.8865979381443299,0.7628865979381443,0.05154639175257732,0.3711340206185567,10.690721649484535,0.08247422680412371,0.08247422680412371,0.0,0.8144329896907216,0.4020618556701031
Rodrigo,0.31313131313131315,0.46464646464646464,Leeds United,99,0.25252525252525254,0.050505050505050504,0.020202020202020204,0.0,0.050505050505050504,1.7373737373737375,0.6565656565656566,0.0707070707070707,0.1111111111111111,20.696969696969695,0.1414141414141414,0.15151515151515152,0.0,0.6767676767676768,0.1717171717171717
Sam Greenwood,0.2727272727272727,0.5,Leeds United,22,0.045454545454545456,0.0,0.0,0.0,0.18181818181818182,0.6818181818181818,0.09090909090909091,0.0,0.0,9.0,0.09090909090909091,0.045454545454545456,0.0,0.6818181818181818,0.09090909090909091
Luis Sinisterra,0.1111111111111111,0.5555555555555556,Leeds United,18,0.2222222222222222,0.0,0.0,0.0,0.0,1.4444444444444444,0.5555555555555556,0.05555555555555555,0.1111111111111111,17.88888888888889,0.0,0.05555555555555555,0.05555555555555555,0.7777777777777778,0.2777777777777778
Sonny Perkins,0.0,1.0,Leeds United,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Wilfried Gnonto,0.21052631578947367,0.5263157894736842,Leeds United,19,0.10526315789473684,0.0,0.0,0.0,0.15789473684210525,0.9473684210526315,0.3684210526315789,0.0,0.05263157894736842,19.842105263157894,0.10526315789473684,0.2631578947368421,0.0,1.2105263157894737,0.15789473684210525
Mateo Joseph Fernandez,0.0,0.6666666666666666,Leeds United,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Georginio Rutter,0.1,0.7,Leeds United,10,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.5,0.1
Jamie Vardy,0.4019933554817276,0.3787375415282392,Leicester City,301,0.44518272425249167,0.053156146179401995,0.08637873754152824,0.0,0.1461794019933555,2.026578073089701,0.9700996677740864,0.0664451827242525,0.3687707641196013,12.754152823920267,0.20930232558139536,0.07973421926910298,0.009966777408637873,0.7807308970099668,0.8837209302325582
Kelechi Iheanacho,0.3316062176165803,0.45077720207253885,Leicester City,193,0.21761658031088082,0.03626943005181347,0.0051813471502590676,0.0,0.12435233160621761,1.3367875647668395,0.5440414507772021,0.02072538860103627,0.17616580310880828,12.590673575129534,0.16062176165803108,0.04145077720207254,0.0,0.7098445595854922,0.29015544041450775
