Kasper Schmeichel,4000000
Eldin Jakupovic,250000
Jakub Stolarczyk,200000
Chituru Odunze,
Wesley Fofana,40000000
Caglar Söyüncü,40000000
Jannik Vestergaard,13000000
Daniel Amartey,10000000
Jonny Evans,4000000
Filip Benkovic,1800000
Sam Hughes,300000
Ben Nelson,
Luke Thomas,12000000
Ryan Bertrand,3000000
Timothy Castagne,28000000
James Justin,25000000
Ricardo Pereira,20000000
Vontae Daley-Campbell,200000
Wilfred Ndidi,60000000
Boubakary Soumaré,25000000
Hamza Choudhury,4000000
Nampalys Mendy,4000000
Lewis Brunt,
Sammy Braybrooke,
Youri Tielemans,55000000
Dennis Praet,13000000
Kiernan Dewsbury-Hall,8000000
Oliver Ewing,
Wanya Marçal,
Marc Albrighton,2500000
James Maddison,50000000
Kasey McAteer,300000
Will Alves,
Harvey Barnes,32000000
Ayoze Pérez,10000000
Ademola Lookman,10000000
Kelechi Iheanacho,20000000
Patson Daka,20000000
Jamie Vardy,5000000
Ederson,45000000
Zack Steffen,6000000
Scott Carson,300000
Cieran Slicker,
Rúben Dias,75000000
Aymeric Laporte,45000000
John Stones,28000000
Nathan Aké,25000000
Philippe Sandler,2000000
CJ Egan-Riley,800000
Luke Mbete,600000
Finley Burns,300000
Oleksandr Zinchenko,25000000
Josh Wilson-Esbrand,400000
Benjamin Mendy,
João Cancelo,65000000
Kyle Walker,18000000
Yan Couto,5000000
Rodri,80000000
Roméo Lavia,2000000
Fernandinho,1500000
Claudio Gomes,1000000
Ilkay Gündogan,25000000
James McAtee,3000000
Tommy Doyle,2500000
Kevin De Bruyne,85000000
Bernardo Silva,80000000
Cole Palmer,6000000
Oscar Bobb,
Phil Foden,90000000
Raheem Sterling,70000000
Jack Grealish,70000000
Ferran Torres,45000000
Samuel Edozie,800000
Riyad Mahrez,35000000
Kayky,14000000
Ben Knight,
Gabriel Jesus,50000000
Liam Delap,1500000
Dean Henderson,18000000
David de Gea,15000000
Tom Heaton,800000
Matej Kovar,400000
Lee Grant,250000
Raphaël Varane,48000000
Harry Maguire,38000000
Victor Lindelöf,22000000
Eric Bailly,6000000
Phil Jones,3000000
Teden Mengi,2000000
Björn Hardley,
Luke Shaw,38000000
Alex Telles,18000000
Brandon Williams,12000000
Álvaro Fernandez,
Aaron Wan-Bissaka,25000000
Diogo Dalot,20000000
Scott McTominay,32000000
James Garner,7000000
Nemanja Matić,5000000
Charlie Savage,600000
Paul Pogba,48000000
Donny van de Beek,25000000
Fred,20000000
Zidane Iqbal,600000
Bruno Fernandes,85000000
Jesse Lingard,18000000
Andreas Pereira,7500000
Hannibal,6000000
Juan Mata,2500000
Jadon Sancho,75000000
Marcus Rashford,60000000
Anthony Elanga,20000000
Alejandro Garnacho,
Daniel James,18000000
Amad Diallo,15000000
Shola Shoretire,4000000
Tahith Chong,3500000
Mason Greenwood,
Cristiano Ronaldo,30000000
Anthony Martial,16000000
Edinson Cavani,4000000
Freddie Woodman,9000000
Martin Dúbravka,4000000
Karl Darlow,2500000
