Player,Salary,Year
Jermain Defoe,5380000,2017
Jerome Sinclair,1040000,2020
Jesse Lingard,3900000,2021
Jesus Gamez,1820000,2017
Jesé Rodríguez Ruiz,2392000,2017
Jimmy Dunne,350000,2020
Jiri Skalak,1040000,2017
Jo Gorenc-Stankovic,780000,2021
Joachim Andersen,4130000,2021
Joao Cancelo,4160000,2021
Joao Pedro,650000,2021
Joao Virginia,520000,2020
Joe Allen,2600000,2020
Joe Bennett,1015000,2020
Joe Bryan,1560000,2021
Joe Gelhardt,858000,2021
Joe Gomez,3900000,2021
Joe Hart,2700000,2020
Joe Lolley,910000,2021
Joe Ralls,1275000,2021
Joe Rodon,500000,2021
Joe Willock,1040000,2021
Joe Worrall,520000,2021
Joel Castro Pereira,780000,2017
Joel Coleman,416000,2019
Joel Matip,5200000,2018
Joel Robles,1040000,2017
Joel Veltman,2000000,2021
Joel Ward,1820000,2021
Joelinton Cassio Apolinário de Lira,4500000,2021
Johann Berg Gudmundsson,1560000,2020
John Egan,390000,2021
John Fleck,416000,2021
John Lundstrom,208000,2020
John McGinn,1300000,2021
John Ruddy,301600,2021
John Stones,13000000,2021
John Terry,3120000,2017
Jon Flanagan,1710000,2017
Jonas Lossl,1456000,2019
Jonathan Hogg,1196000,2019
Jonathan Kodjia,1820000,2018
Jonathan Leko,93600,2017
Jonathan Panzo,480000,2021
Jonathan Walters,1560000,2017
Jonjo Shelvey,3640000,2021
Jonjoe Kenny,780000,2021
Jonny Castro,1907000,2021
Jonny Evans,4160000,2019
Jonny Otto,1907000,2021
Jonny Williams,780000,2018
Jordan Ayew,1690000,2021
Jordan Henderson,7280000,2020
Jordan Pickford,5208333,2021
Jordan Zemura,20000,2021
Jordon Ibe,1976000,2019
Jorge Luiz Frello Filho,5720000,2021
Jorge Segura,156000,2017
Jose Fonte,3900000,2017
Jose Holebas,1560000,2019
Jose Ignacio Peleteiro Ramallo,1300000,2019
Jose Izquierdo,2340000,2020
Jose Moutinho,5200000,2018
Jose Salomon Rondon,3120000,2017
Joselu Mato,2080000,2018
Josh Brownhill,2080000,2021
Josh Cullen,277333,2017
Josh Dasilva,936000,2021
Josh Knight,104000,2018
Josh Murphy,1300000,2021
Josh Sims,936000,2017
Josh Tymon,520000,2021
Joshua King,2340000,2020
Joshua Onomah,1560000,2021
José Sá,1490000,2021
Jota Peleteiro,1300000,2020
Juan Foyth,1118000,2019
Juan Mata,8320000,2021
Julian Speroni,1300000,2018
Julien Ngoy,260000,2021
Juninho Bacuna,884000,2020
Junior Firpo,2200000,2021
Junior Hoilett,1456000,2020
Junior Stanislas,1820000,2021
Jurgen Locadia,2106000,2018
Jóhann Berg Guðmundsson,1560000,2021
Kadeem Harris,625000,2018
Kai Havertz,7800000,2021
Kalvin Phillips,234000,2021
Kamil Grabara,400000,2021
Kamil Grosicki,1300000,2020
Kane Wilson,104000,2017
Kaoru Mitoma,520000,2021
Karl Darlow,1300000,2021
Kasey Palmer,1040000,2017
Kasper Schmeichel,6760000,2021
Kean Bryan,156000,2020
Keinan Davis,2340000,2020
Kelechi Iheanacho,3120000,2021
Ken Sema,780000,2021
Kenneth Zohore,858000,2018
Kenny McLean,1300000,2021
Kenny Tete,2650000,2021
Kepa Arrizabalaga,7800000,2021
