full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings,salary,saves_per_game_overall,save_percentage_overall
Nicolas N'Koulou,Defender,0.0,0.0,50.0,0.0,6.0,0.0,0.0,1,-0.8816652591412922,50,2200000,,
Nuno Albertino Varela Tavares,Defender,5.26,2.0,481.0,19.0,159.0,585.0,0.0,0,-0.0778324132512136,36,1404000,,
Ozan Muhammed Kabak,Defender,0.0,2.0,349.0,3.0,108.0,462.0,0.0,1,-0.48880037695600814,8,3380000,,
Pablo Mari Villar,Defender,0.0,0.0,79.0,1.0,18.0,180.0,0.0,1,-0.8124723539681912,39,4420000,,
Pascal Struijk,Defender,11.11,4.0,1065.0,9.0,201.0,260.0,0.0,0,0.1355708259932426,17,371800,,
Paul Dummett,Defender,0.0,0.0,38.0,0.0,23.0,99.0,0.0,1,-0.848850618111964,42,1820000,,
Phil Jones,Defender,0.0,0.0,71.0,0.0,11.0,0.0,0.0,1,-0.8690466758545975,45,3900000,,
Pontus Jansson,Defender,17.65,11.0,1205.0,17.0,263.0,475.0,1.0,3,0.7951718280451515,10,1300000,,
Przemyslaw Placheta,Defender,0.0,7.0,98.0,7.0,55.0,504.0,0.0,1,-0.43506699066028665,3,320000,,
Raphael Varane,Defender,16.67,1.0,1005.0,6.0,131.0,0.0,1.0,0,0.06219049225949085,21,17680000,,
Rayan Ait Nouri,Defender,9.09,4.0,578.0,11.0,256.0,457.0,0.0,0,0.05590296109381727,22,1900000,,
Reece James,Defender,20.83,10.0,1232.0,24.0,200.0,311.0,5.0,2,1.2187665912672256,4,3016000,,
Ricardo Domingos Barbosa Pereira,Defender,16.67,2.0,426.0,6.0,132.0,331.0,1.0,0,-0.045739972896720306,31,3640000,,
Rico Henry,Defender,27.27,5.0,762.0,11.0,256.0,1392.0,0.0,5,0.6252342555017817,4,624000,,
Rob Holding,Defender,33.33,1.0,414.0,3.0,79.0,210.0,0.0,4,-0.017870644199105445,14,2704000,,
Robin Koch,Defender,0.0,1.0,532.0,9.0,181.0,524.0,0.0,0,-0.288362687090092,53,2400000,,
Romain Perraud,Defender,0.0,3.0,377.0,14.0,160.0,542.0,1.0,0,-0.14257097322654738,43,2040000,,
Romain Saiss,Defender,11.11,6.0,1423.0,18.0,232.0,452.0,0.0,3,0.49629552113105224,16,1144000,,
Ruben Santos Gato Alves Dias,Defender,18.18,3.0,2118.0,11.0,161.0,481.0,2.0,3,0.8109002324046214,8,9013333,,
Ryan Bertrand,Defender,0.0,0.0,118.0,0.0,28.0,338.0,0.0,1,-0.7711096515465375,34,2300000,,
Ryan Fredericks,Defender,0.0,0.0,93.0,0.0,14.0,304.0,0.0,1,-0.801204295886062,37,2080000,,
Sam Byram,Defender,0.0,2.0,339.0,5.0,114.0,341.0,0.0,1,-0.48348094278601433,7,1560000,,
Samir,Defender,0.0,2.0,537.0,4.0,155.0,419.0,0.0,0,-0.36899524074390255,56,4630000,,
Sead Kolasinac,Defender,0.0,0.0,13.0,0.0,2.0,90.0,0.0,1,-0.8818157934209812,51,5200000,,
Seamus Coleman,Defender,20.0,1.0,706.0,5.0,227.0,665.0,0.0,0,0.13071001616138453,18,3640000,,
Sergio Reguilon Rodriguez,Defender,14.29,9.0,606.0,14.0,219.0,481.0,2.0,3,0.4938629463266407,18,2500000,,
Shane Duffy,Defender,6.25,6.0,896.0,16.0,132.0,205.0,0.0,0,0.05488521749352903,23,2080000,,
Takehiro Tomiyasu,Defender,0.0,2.0,747.0,9.0,189.0,841.0,0.0,0,-0.11846420804210758,41,2910000,,
Tariq Lamptey,Defender,0.0,4.0,528.0,15.0,236.0,389.0,2.0,3,0.10324493541727625,31,1820000,,
Thiago Silva,Defender,23.08,5.0,2415.0,13.0,162.0,1324.0,0.0,5,1.0342641898370644,1,8580000,,
Timothy Castagne,Defender,16.67,3.0,901.0,6.0,211.0,2124.0,0.0,5,0.46700087867784135,5,3276000,,
Tote Antonio Gomes,Defender,0.0,0.0,152.0,0.0,49.0,360.0,0.0,1,-0.7326119827642985,29,399453,,
Trent Alexander-Arnold,Defender,5.56,15.0,1678.0,36.0,178.0,1427.0,6.0,2,1.6928261098980115,2,9360000,,
Trevoh Chalobah,Defender,33.33,7.0,1148.0,9.0,157.0,725.0,1.0,3,0.7576794189094673,11,1040000,,
Tyrick Mitchell,Defender,0.0,0.0,1075.0,1.0,271.0,3103.0,1.0,5,0.45174855452297186,6,1456000,,
Tyrone Mings,Defender,6.25,5.0,1314.0,16.0,224.0,290.0,2.0,3,0.4863119861744162,19,4160000,,
Valentino Livramento,Defender,11.11,3.0,713.0,9.0,242.0,1101.0,0.0,0,0.18879478398617236,16,260000,,
Victor Nilsson Lindelof,Defender,0.0,2.0,1207.0,2.0,134.0,589.0,1.0,0,-0.05432543115595575,33,6240000,,
Virgil van Dijk,Defender,10.34,14.0,2360.0,29.0,198.0,1020.0,0.0,3,1.2358083594653424,1,11440000,,
Vitalii Mykolenko,Defender,14.29,2.0,235.0,7.0,89.0,0.0,0.0,1,-0.34724707954176964,1,3016000,,
Vladimir Coufal,Defender,0.0,5.0,747.0,8.0,212.0,442.0,0.0,0,-0.09732696936472526,38,1600000,,
Wesley Fofana,Defender,0.0,1.0,460.0,3.0,63.0,315.0,0.0,1,-0.5547235822899553,13,1000000,,
William Troost-Ekong,Defender,0.0,0.0,464.0,2.0,87.0,463.0,0.0,1,-0.5400264530085787,11,1430000,,
Willy Boly,Defender,0.0,1.0,465.0,2.0,90.0,900.0,0.0,1,-0.4265638597345349,2,2600000,,
Yann Valery,Defender,0.0,0.0,101.0,2.0,46.0,0.0,0.0,1,-0.795950157347476,35,104000,,
Yerry Fernando Mina Gonzalez,Defender,0.0,2.0,285.0,6.0,76.0,282.0,0.0,1,-0.5416688389532222,12,6240000,,
Aaron Ramsdale,Goalkeeper,,,632.0,,,,,3,-0.093188895142654,2,3220000,2.65,69.77
Alex McCarthy,Goalkeeper,,,243.0,,,,,1,-0.34406755369793424,5,3466667,2.59,61.97
Alisson Becker,Goalkeeper,,,1009.0,,,,,3,-0.470159284814353,5,7800000,2.11,76.0
Alphonse Areola,Goalkeeper,,,18.0,,,,,1,-0.9853162152305383,8,3900000,2.0,66.67
Alvaro Fernandez Llorente,Goalkeeper,,,275.0,,,,,0,1.2253554409051115,1,390000,4.08,67.12
Angus Gunn,Goalkeeper,,,162.0,,,,,0,0.9501885057436669,6,1300000,3.89,61.4
Asmir Begovic,Goalkeeper,,,35.0,,,,,0,0.656567777657924,8,940000,3.67,57.89
Ben Foster,Goalkeeper,,,356.0,,,,,1,-0.22822684713030658,4,1560000,2.69,58.82
Bernd Leno,Goalkeeper,,,63.0,,,,,1,-0.5672632077755486,6,5200000,2.5,52.63
Caoimhin Kelleher,Goalkeeper,,,67.0,,,,,4,0.1143193854616817,1,312000,3.0,75.0
Damian Emiliano Martinez,Goalkeeper,,,660.0,,,,,3,-0.11944241721157198,3,7488000,2.64,66.43
Daniel Bachmann,Goalkeeper,,,171.0,,,,,0,0.993467789310737,4,156000,3.92,62.67
Danny Ward,Goalkeeper,,,22.0,,,,,0,1.1571120417193173,2,1040000,4.0,80.0
David de Gea,Goalkeeper,,,539.0,,,,,5,0.5736050731818417,6,19500000,3.34,69.02
David Raya Martin,Goalkeeper,,,618.0,,,,,5,0.591035023659005,4,1300000,3.29,74.53
Ederson,Goalkeeper,,,852.0,,,,,3,-1.069884584751299,7,3380000,1.62,69.77
Edouard Mendy,Goalkeeper,,,657.0,,,,,3,-0.5915120375154346,6,2704000,2.15,70.19
Fraser Forster,Goalkeeper,,,289.0,,,,,0,0.7117730767519158,7,3640000,3.58,66.02
Freddie Woodman,Goalkeeper,,,63.0,,,,,1,-0.6219389556587887,7,156000,2.5,45.45
Hugo Lloris,Goalkeeper,,,609.0,,,,,3,-0.1950282296738189,4,5200000,2.55,70.8
Illan Meslier,Goalkeeper,,,767.0,,,,,5,1.043179588133792,1,1144000,3.76,64.41
Jack Butland,Goalkeeper,,,173.0,,,,,1,-1.1068772331527217,10,2288000,1.89,58.62
Jason Steele,Goalkeeper,,,32.0,,,,,1,-0.011628842529765954,2,833333,3.0,60.0
Jed Steer,Goalkeeper,,,23.0,,,,,2,-2.3207490265615682,3,416000,1.0,25.0
John Ruddy,Goalkeeper,,,17.0,,,,,1,-0.9856511617435904,9,301600,2.0,66.67
Jonas Lossl,Goalkeeper,,,36.0,,,,,2,-2.2892091480836507,2,1456000,1.0,28.57
Jordan Pickford,Goalkeeper,,,491.0,,,,,5,0.5410792261503548,8,5208333,3.34,66.86
Jose Pedro Malheiro de Sa,Goalkeeper,,,558.0,,,,,5,0.5553398827573306,7,1490000,3.27,75.16
Karl Darlow,Goalkeeper,,,127.0,,,,,1,0.03191818648040558,1,1300000,3.0,61.54
Kasper Schmeichel,Goalkeeper,,,782.0,,,,,5,0.8611634709875275,3,6760000,3.54,69.31
Kepa Arrizabalaga,Goalkeeper,,,86.0,,,,,4,-0.0610078206348158,2,7800000,2.75,84.62
Kristoffer Klaesson,Goalkeeper,,,7.0,,,,,0,1.1520878440235356,3,570000,4.0,80.0
Martin Dubravka,Goalkeeper,,,447.0,,,,,5,-0.008588280035641958,11,1976000,2.81,67.59
Nick Pope,Goalkeeper,,,414.0,,,,,5,0.5749775833772554,5,1820000,3.36,72.02
Robert Lynch Sanchez,Goalkeeper,,,896.0,,,,,3,0.08336910731842911,1,520000,2.73,70.63
Robin Olsen,Goalkeeper,,,18.0,,,,,2,-1.1884084430920996,1,1000000,2.0,40.0
Tim Krul,Goalkeeper,,,589.0,,,,,5,0.8716044284741497,2,1300000,3.66,63.1
Vicente Guaita,Goalkeeper,,,597.0,,,,,5,0.06343882277186746,10,404000,2.8,71.79
Wayne Hennessey,Goalkeeper,,,33.0,,,,,0,0.9867174009101235,5,2080000,4.0,57.14
Wilfredo Daniel Caballero,Goalkeeper,,,37.0,,,,,1,-0.05145589631041879,3,890000,3.0,54.55
Zack Steffen,Goalkeeper,,,28.0,,,,,4,-0.7281585778230828,3,2392000,2.0,100.0
Lukasz Fabianski,Goalkeeper,,,501.0,,,,,5,0.29946300279363214,9,3380000,3.08,69.51
