full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings,salary,saves_per_game_overall,save_percentage_overall
Dimitris Giannoulis,Midfielder,0.0,1.0,422.0,1.0,157.0,585.0,1.0,0,-0.34689914411152645,41,390000,,
Donny van de Beek,Midfielder,50.0,2.0,231.0,4.0,79.0,550.0,0.0,3,-0.04830430843336603,6,6240000,,
Douglas Luiz,Midfielder,13.33,8.0,1246.0,15.0,304.0,389.0,1.0,5,0.5757277895589692,25,1709396,,
Eberechi Eze,Midfielder,33.33,1.0,224.0,3.0,85.0,602.0,1.0,3,-0.15028700481011512,9,1560000,,
Edo Kayembe,Midfielder,0.0,0.0,371.0,3.0,97.0,0.0,0.0,1,-0.6881614248334673,12,770000,,
Ellis Simms,Midfielder,0.0,0.0,7.0,0.0,7.0,0.0,0.0,1,-0.9965422760403861,40,364000,,
Emile Smith Rowe,Midfielder,32.26,23.0,669.0,31.0,159.0,1921.0,0.0,4,1.0784481461923097,2,1040000,,
Emiliano Buendia,Midfielder,12.9,13.0,693.0,31.0,287.0,1902.0,3.0,4,1.1669709388584637,1,3900000,,
Enock Mwepu,Midfielder,12.5,8.0,287.0,16.0,146.0,499.0,3.0,0,0.2015913474732945,4,1600000,,
Fabian Delph,Midfielder,0.0,0.0,258.0,0.0,61.0,333.0,0.0,1,-0.7480719204637898,13,4160000,,
Fabinho,Midfielder,31.25,10.0,1342.0,16.0,255.0,331.0,1.0,5,0.751333594678438,13,9360000,,
Fernando Luiz Rosa,Midfielder,13.33,4.0,737.0,15.0,116.0,958.0,0.0,0,0.033164032824241366,12,7800000,,
Folarin Balogun,Midfielder,0.0,0.0,4.0,3.0,8.0,0.0,0.0,1,-0.9619040400844832,29,1664000,,
Frederico Rodrigues Santos,Midfielder,36.36,9.0,1125.0,11.0,270.0,407.0,2.0,5,0.7965176432216456,11,6240000,,
Giovani Lo Celso,Midfielder,0.0,1.0,125.0,8.0,43.0,0.0,0.0,1,-0.784615379271569,16,3640000,,
Granit Xhaka,Midfielder,6.25,5.0,1339.0,16.0,207.0,194.0,1.0,5,0.26017324508681194,41,5200000,,
Hakim Ziyech,Midfielder,11.11,19.0,513.0,36.0,213.0,439.0,3.0,2,0.8153869211010921,14,5200000,,
Hamza Choudhury,Midfielder,0.0,0.0,123.0,1.0,37.0,286.0,0.0,1,-0.8322075992272172,18,390000,,
Hannibal Mejbri,Midfielder,0.0,1.0,17.0,1.0,9.0,34.0,0.0,1,-0.9504855625239768,28,676000,,
Harry Winks,Midfielder,0.0,1.0,576.0,2.0,78.0,453.0,1.0,0,-0.4588054331380482,48,2600000,,
Harvey Elliott,Midfielder,0.0,1.0,203.0,7.0,29.0,0.0,0.0,1,-0.7967838167217741,17,780000,,
