full_name,salary,year
Mahmoud Hassan,1690000,2020
Marvelous Nakamba,1690000,2020
Jordan Ayew,1690000,2020
Helder Costa,1690000,2020
Sam Johnstone,1690000,2020
Kiko Casilla,1670000,2020
Alfie Mawson,1664000,2020
Ashley Westwood,1612000,2020
Anwar El Ghazi,1610000,2020
Alexis Mac Allister,1600000,2020
Vladimir Coufal,1600000,2020
Lloyd Kelly,1560000,2020
Jack Stacey,1560000,2020
Bukayo Saka,1560000,2020
Solly March,1560000,2020
Johann Berg Gudmundsson,1560000,2020
Alex Smithies,1560000,2020
Eberech Eze,1560000,2020
Joe Bryan,1560000,2020
Joshua Onomah,1560000,2020
Adama Diakhaby,1560000,2020
Alex Pritchard,1560000,2020
Lee Grant,1560000,2020
Christian Atsu,1560000,2020
Sam Byram,1560000,2020
Glenn Murray,1560000,2020
Che Adams,1560000,2020
Ben Foster,1560000,2020
Will Hughes,1560000,2020
Christian Kabasele,1560000,2020
Isaac Success,1560000,2020
Hal Robson-Kanu,1560000,2020
Nathan Ferguson,1500000,2020
Tyrick Mitchell,1500000,2020
Amad Diallo,1500000,2020
David McGoldrick,1500000,2020
Junior Hoilett,1456000,2020
Adam Masina,1456000,2020
Antonee Robinson,1430000,2020
Rhian Brewster,1430000,2020
William Troost-Ekong,1430000,2020
Tim Ream,1404000,2020
Ramadan Sobhi,1404000,2020
John McGinn,1300000,2020
Ahmed Elmohamady,1300000,2020
Jota Peleteiro,1300000,2020
Pontus Jansson,1300000,2020
David Raya,1300000,2020
Yves Bissouma,1300000,2020
Andi Zeqiri,1300000,2020
Phil Bardsley,1300000,2020
Matthew Lowton,1300000,2020
Charlie Taylor,1300000,2020
Sean Morrison,1300000,2020
Josh Murphy,1300000,2020
Isaiah Brown,1300000,2020
Martin Kelly,1300000,2020
Tom Davies,1300000,2020
Mason Holgate,1300000,2020
Elias Kachunga,1300000,2020
Christopher Schindler,1300000,2020
Neco Williams,1300000,2020
Scott Carson,1300000,2020
Karl Darlow,1300000,2020
Jacob Murphy,1300000,2020
Todd Cantwell,1300000,2020
