Player,Salary,Year
Emile Smith Rowe,1040000,2021
Bryan Mbeumo,1040000,2021
Christian Nørgaard,1040000,2021
Mathias Jensen,1040000,2021
Trevoh Chalobah,1040000,2021
Cyrus Christie,1040000,2021
Adam Forshaw,1040000,2021
Danny Ward,1040000,2021
Oleksandr Zinchenko,1040000,2021
Tahith Chong,1040000,2021
Joe Willock,1040000,2021
Grant Hanley,1040000,2021
Lyle Taylor,1040000,2021
Oliver McBurnie,1040000,2021
Michael Verrips,1040000,2021
Jan Bednarek,1040000,2021
Pape Sarr,1040000,2021
Kiko Femenia,1040000,2021
Matt Phillips,1040000,2021
Christoph Zimmermann,1010000,2021
Diego Rico,1001000,2021
Wesley Fofana,1000000,2021
Dan Burn,1000000,2021
Ben Johnson,1000000,2021
Darnell Furlong,962000,2021
Frank Onyeka,960000,2021
Francisco Oliveira,950000,2021
Asmir Begovic,940000,2021
Josh Dasilva,936000,2021
Kieffer Moore,920000,2021
Carlos Miguel Ribiero Dias,920000,2021
Joe Lolley,910000,2021
Jayson Molumby,900000,2021
Will Smallbone,900000,2021
Ethan Horvath,890000,2021
Willy Caballero,890000,2021
James Garner,880000,2021
Joe Gelhardt,858000,2021
Jayden Bogle,858000,2021
Semi Ajayi,858000,2021
Conor Coady,858000,2021
Rob Elliot,850000,2021
Jason Steele,833333,2021
Nathan Patterson,810000,2021
Xande Silva,810000,2021
Philip Billing,780000,2021
Sergi Canós,780000,2021
Saman Ghoddos,780000,2021
Ethan Pinnock,780000,2021
Steven Alzate,780000,2021
Jarrad Branthwaite,780000,2021
Jonjoe Kenny,780000,2021
Jo Gorenc-Stankovic,780000,2021
Jack Harrison,780000,2021
Harvey Elliott,780000,2021
Louis Thompson,780000,2021
Scott McKenna,780000,2021
Oliver Norwood,780000,2021
Ken Sema,780000,2021
Max Kilman,780000,2021
Siriki Dembélé,761250,2021
James Hill,750000,2021
Emiliano Marcondes,730000,2021
Stipe Perica,702000,2021
Neeskens Kebano,700024,2021
Paulo Gazzaniga,700000,2021
Cole Palmer,700000,2021
Sam Surridge,660000,2021
Aboubakar Kamara,650000,2021
Nathan Tella,650000,2021
Joao Pedro,650000,2021
Romaine Sawyers,650000,2021
Jamal Lowe,624000,2021
Shandon Baptiste,624000,2021
Rico Henry,624000,2021
Harrison Reed,624000,2021
Phil Foden,624000,2021
Billy Sharp,624000,2021
Yoane Wissa,620000,2021
Nuno da Costa,620000,2021
Chris Mepham,607000,2021
Luke Thomas,600000,2021
Mark Gillespie,600000,2021
Jack Robinson,572000,2021
Kristoffer Klaesson,570000,2021
Charly Musonda,550000,2021
Braian Ojeda,550000,2021
Vitaly Janelt,520000,2021
Robert Sánchez,520000,2021
Kaoru Mitoma,520000,2021
Jakub Moder,520000,2021
Anthony Gordon,520000,2021
Stefan Johansen,520000,2021
Harvey Barnes,520000,2021
Jacob Lungi Sörensen,520000,2021
Jack Colback,520000,2021
Joe Worrall,520000,2021
Luke Freeman,520000,2021
Jack O'Connell,520000,2021
Josh Tymon,520000,2021
Rekeem Harper,520000,2021
Joe Rodon,500000,2021
Cedric Kipre,500000,2021
Francisco Sierralta,494000,2021
Ben Pearson,490000,2021
Chris Basham,487000,2021
Jonathan Panzo,480000,2021
Anthony Elanga,470000,2021
Denis Odoi,462800,2021
Oliver Burke,457600,2021
Michael McGovern,442000,2021
James Justin,429000,2021
Kortney Hause,420000,2021
Stuart Dallas,416000,2021
Luke Ayling,416000,2021
Ben Marshall,416000,2021
John Fleck,416000,2021
Domingos Quina,416000,2021
Sam Field,416000,2021
Vicente Guaita,404000,2021
Mateusz Klich,403000,2021
Kamil Grabara,400000,2021
Richie Laryea,400000,2021
Callum Robinson,400000,2021
Jacob Ramsey,390000,2021
Hamza Choudhury,390000,2021
Curtis Jones,390000,2021
Kieran Dowell,390000,2021
Dimitris Giannoulis,390000,2021
John Egan,390000,2021
Yerson Mosquera,380000,2021
Pascal Struijk,371800,2021
Jaden Philogene-Bidace,360000,2021
Mads Roerslev,346667,2021
Liam Cooper,338000,2021
Przemyslaw Placheta,320000,2021
Caoimhin Kelleher,312000,2021
Matheus Pereira,312000,2021
John Ruddy,301600,2021
Will Norris,300000,2021
Crysencio Summerville,300000,2021
Loïc Mbe Soh,290000,2021
Wes Foderingham,286000,2021
Remi Matthews,280000,2021
Tariqe Fosu,260000,2021
