full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Rico Henry,Defender,27.27,5.0,762.0,11.0,256.0,1392,0,5,0.6266818489111545,3
Rob Holding,Defender,33.33,1.0,414.0,3.0,79.0,210,0,4,0.16213390117096912,13
Robin Koch,Defender,0.0,1.0,532.0,9.0,181.0,524,0,0,-0.41540183486172255,55
Romain Perraud,Defender,0.0,3.0,377.0,14.0,160.0,542,1,0,-0.28549456950491403,42
Romain Saiss,Defender,11.11,6.0,1423.0,18.0,232.0,452,0,3,0.49335257190594645,18
Ruben Santos Gato Alves Dias,Defender,18.18,3.0,2118.0,11.0,161.0,481,2,3,0.742737898799056,12
Ryan Bertrand,Defender,0.0,0.0,118.0,0.0,28.0,338,0,1,-0.7697442588746127,34
Ryan Fredericks,Defender,0.0,0.0,93.0,0.0,14.0,304,0,1,-0.7890877782759186,37
Sam Byram,Defender,0.0,2.0,339.0,5.0,114.0,341,0,1,-0.5043036897068975,5
Samir,Defender,0.0,2.0,537.0,4.0,155.0,419,0,0,-0.4130349566120155,54
Sead Kolasinac,Defender,0.0,0.0,13.0,0.0,2.0,90,0,1,-0.843141358184318,50
Seamus Coleman,Defender,20.0,1.0,706.0,5.0,227.0,665,0,0,0.10160446564922604,21
Sergio Reguilon Rodriguez,Defender,14.29,9.0,606.0,14.0,219.0,481,2,3,0.5213416840362364,15
Shane Duffy,Defender,6.25,6.0,896.0,16.0,132.0,205,0,0,0.11463445732090283,20
Takehiro Tomiyasu,Defender,0.0,2.0,747.0,9.0,189.0,841,0,0,-0.25168138351615094,40
Tariq Lamptey,Defender,0.0,4.0,528.0,15.0,236.0,389,2,3,-0.09481366827417467,31
Thiago Silva,Defender,23.08,5.0,2415.0,13.0,162.0,1324,0,5,1.057110793844272,1
Timothy Castagne,Defender,16.67,3.0,901.0,6.0,211.0,2124,0,5,0.34069292528451706,6
Tote Antonio Gomes,Defender,0.0,0.0,152.0,0.0,49.0,360,0,1,-0.7446525962485937,30
Trent Alexander-Arnold,Defender,5.56,15.0,1678.0,36.0,178.0,1427,6,2,1.4348290832412616,2
Trevoh Chalobah,Defender,33.33,7.0,1148.0,9.0,157.0,725,1,3,0.9269887772252,7
Tyrick Mitchell,Defender,0.0,0.0,1075.0,1.0,271.0,3103,1,5,0.006143274183634886,10
Tyrone Mings,Defender,6.25,5.0,1314.0,16.0,224.0,290,2,3,0.36035634374245346,26
Valentino Livramento,Defender,11.11,3.0,713.0,9.0,242.0,1101,0,0,0.09211845506675473,22
Victor Nilsson Lindelof,Defender,0.0,2.0,1207.0,2.0,134.0,589,1,0,-0.14056196601267099,35
Virgil van Dijk,Defender,10.34,14.0,2360.0,29.0,198.0,1020,0,3,1.3480354043318619,1
Vitalii Mykolenko,Defender,14.29,2.0,235.0,7.0,89.0,0,0,1,-0.2557363052262024,1
Vladimir Coufal,Defender,0.0,5.0,747.0,8.0,212.0,442,0,0,-0.11564101728654902,34
Wesley Fofana,Defender,0.0,1.0,460.0,3.0,63.0,315,0,1,-0.5609553304885002,12
William Troost-Ekong,Defender,0.0,0.0,464.0,2.0,87.0,463,0,1,-0.5947432899210684,14
Willy Boly,Defender,0.0,1.0,465.0,2.0,90.0,900,0,1,-0.4960162297644812,4
Yann Valery,Defender,0.0,0.0,101.0,2.0,46.0,0,0,1,-0.7850859258925316,36
Yerry Fernando Mina Gonzalez,Defender,0.0,2.0,285.0,6.0,76.0,282,0,1,-0.5426774238106358,9
