full_name,position,shot_conversion_rate_overall,shots_on_target_total_overall,passes_completed_total_overall,shots_total_overall,duels_total_overall,min_per_card_overall,assists_away,cluster,performance,rankings
Luka Milivojević,Midfielder,0.0,0.0,385.0,4.0,72.0,776,0,0,-0.6133510286465201,49
Lukas Rupp,Midfielder,0.0,2.0,319.0,8.0,96.0,0,0,1,-0.6457272695801872,6
Luke Cundle,Midfielder,0.0,0.0,0.0,0.0,0.0,0,0,1,-0.9058250044366012,52
Mads Bidstrup,Midfielder,0.0,0.0,10.0,0.0,6.0,0,0,1,-0.8989916053627953,41
Mahmoud Ibrahim Hassan,Midfielder,0.0,0.0,6.0,0.0,1.0,0,0,1,-0.9028918426183892,43
Manuel Lanzini,Midfielder,38.46,7.0,1101.0,13.0,154.0,894,1,5,1.1151722181515948,4
Marc Albrighton,Midfielder,33.33,1.0,287.0,3.0,152.0,375,2,3,0.4146265070266299,8
Mark Noble,Midfielder,50.0,2.0,261.0,2.0,31.0,0,0,3,0.7230385621579312,5
Martin Ødegaard,Midfielder,21.21,21.0,1341.0,33.0,266.0,698,4,2,1.3397689884566568,8
Marvelous Nakamba,Midfielder,0.0,0.0,327.0,0.0,127.0,181,0,1,-0.6934320040169266,10
Mason Greenwood,Midfielder,13.16,19.0,389.0,38.0,131.0,1281,0,4,0.4999619638426149,6
Mason Mount,Midfielder,20.0,29.0,952.0,55.0,230.0,591,6,2,1.5083204496178504,5
Mateo Kovačić,Midfielder,11.76,6.0,1055.0,17.0,190.0,389,1,5,0.2726986137512448,29
Mateusz Klich,Midfielder,3.7,18.0,776.0,27.0,218.0,417,0,5,0.2617632858942083,32
Mathias Jensen,Midfielder,0.0,5.0,534.0,14.0,160.0,0,0,0,-0.423105974621061,35
Mathias Normann,Midfielder,5.0,5.0,535.0,20.0,216.0,275,0,0,-0.20021242389359234,18
Matt Ritchie,Midfielder,0.0,1.0,393.0,5.0,102.0,267,0,1,-0.6216056885679985,5
Maximillian James Aarons,Midfielder,0.0,2.0,846.0,7.0,314.0,360,1,0,-0.24847129808494328,24
Michael Olise,Midfielder,13.33,10.0,446.0,15.0,187.0,284,3,0,0.24562322267614023,2
Miguel Ángel Almirón Rejala,Midfielder,5.88,7.0,396.0,17.0,204.0,860,0,0,-0.12944856691281376,15
Milot Rashica,Midfielder,3.12,17.0,325.0,32.0,269.0,0,1,5,0.07157970041596716,38
Mohamed Elneny,Midfielder,0.0,2.0,528.0,5.0,47.0,800,1,0,-0.4588640536352666,40
Mohamed Elyounoussi,Midfielder,12.9,19.0,428.0,31.0,276.0,511,1,5,0.5075185908055725,22
Moisés Isaac Caicedo Corozo,Midfielder,16.67,4.0,220.0,6.0,74.0,332,1,0,-0.0857392287325805,12
Morgan Gibbs-White,Midfielder,0.0,0.0,7.0,1.0,4.0,7,0,1,-0.8966052496147812,39
Morgan Sanson,Midfielder,0.0,0.0,122.0,1.0,66.0,0,0,1,-0.8219361474252894,21
Moussa Djenepo,Midfielder,0.0,1.0,106.0,8.0,83.0,151,0,1,-0.7505262326363481,14
Moussa Sissoko,Midfielder,9.52,8.0,895.0,21.0,359.0,644,0,5,0.2704880083734287,31
N'Golo Kanté,Midfielder,16.67,9.0,1118.0,12.0,210.0,889,2,5,0.6136308513887628,16
